"goal","dimension","region_id","gapfilled","method"
"ICO","status",1,"0",NA
"ICO","status",2,"0",NA
"ICO","status",3,"0",NA
"ICO","status",4,"0",NA
"ICO","status",5,"0",NA
"ICO","status",6,"0",NA
"ICO","status",7,"0",NA
"ICO","status",8,"0",NA
"ICO","status",9,"0",NA
"ICO","trend",1,"0",NA
"ICO","trend",2,"0",NA
"ICO","trend",3,"0",NA
"ICO","trend",4,"0",NA
"ICO","trend",5,"0",NA
"ICO","trend",6,"0",NA
"ICO","trend",7,"0",NA
"ICO","trend",8,"0",NA
"ICO","trend",9,"0",NA
