rgn_id,rgn_name,area_km2
1,Rhode Island,1217.215801323817
2,New York,4990.454975068181
3,Connecticut,1525.3660142944207
4,Massachusetts-Gulf of Maine,3461.9105094908737
5,Massachusetts-Virginian,2944.935006566299
6,New Hampshire,221.2987129269996
7,Maine,7574.627655599472
8,Gulf of Maine/Bay of Fundy,127721.88815464942
9,Virginian,129906.67463738882
