"","rgn_name","rgn_id","year","score"
"1","Connecticut",3,1984,0.363636363636364
"2","Connecticut",3,1985,0.454545454545455
"3","Connecticut",3,1986,0.284090909090909
"4","Connecticut",3,1987,0.159090909090909
"5","Connecticut",3,1988,0.136363636363636
"6","Connecticut",3,1989,0.181818181818182
"7","Connecticut",3,1990,0.181818181818182
"8","Connecticut",3,1991,0.189723320158103
"9","Connecticut",3,1992,0.121212121212121
"10","Connecticut",3,1993,0.136363636363636
"11","Connecticut",3,1994,0.106060606060606
"12","Connecticut",3,1996,0.181818181818182
"13","Connecticut",3,1998,0.136363636363636
"14","Connecticut",3,2000,0.0681818181818182
"15","Connecticut",3,2002,0.0303030303030303
"16","Connecticut",3,2004,0.0909090909090909
"17","Connecticut",3,2006,0.0757575757575758
"18","Connecticut",3,2008,0.0909090909090909
"19","Connecticut",3,2010,0.0681818181818182
"20","Connecticut",3,2012,0.0757575757575758
"21","Gulf of Maine/Bay of Fundy",8,1987,0.272727272727273
"22","Gulf of Maine/Bay of Fundy",8,2004,0.145454545454545
"23","Maine",7,1984,0.204545454545455
"24","Maine",7,1985,0.215909090909091
"25","Maine",7,1986,0.227272727272727
"26","Maine",7,1987,0.227272727272727
"27","Maine",7,1988,0.106060606060606
"28","Maine",7,1989,0.0909090909090909
"29","Maine",7,1990,0.117424242424242
"30","Maine",7,1991,0.151515151515152
"31","Maine",7,1992,0.0636363636363636
"32","Maine",7,1993,0.0795454545454545
"33","Maine",7,1994,0.0909090909090909
"34","Maine",7,1995,0.0795454545454545
"35","Maine",7,1997,0.170454545454545
"36","Maine",7,1999,0.0568181818181818
"37","Maine",7,2001,0.0454545454545455
"38","Maine",7,2003,0.0568181818181818
"39","Maine",7,2005,0.0568181818181818
"40","Maine",7,2007,0.0909090909090909
"41","Maine",7,2009,0
"42","Maine",7,2011,0.0795454545454545
"43","Massachusetts-Gulf of Maine",4,1984,0.424242424242424
"44","Massachusetts-Gulf of Maine",4,1985,0.439393939393939
