rgn_id,year,resilience.score
1,2011,0.455548488802855
1,2012,0.461778591898498
1,2013,0.461778591898498
1,2014,0.461778591898498
1,2015,0.461778591898498
1,2016,0.461778591898498
1,2017,0.461778591898498
2,2011,0.455548488802855
2,2012,0.461778591898498
2,2013,0.461778591898498
2,2014,0.461778591898498
2,2015,0.461778591898498
2,2016,0.461778591898498
2,2017,0.461778591898498
3,2011,0.455548488802855
3,2012,0.461778591898498
3,2013,0.461778591898498
3,2014,0.461778591898498
3,2015,0.461778591898498
3,2016,0.461778591898498
3,2017,0.461778591898498
4,2011,0.455548488802855
4,2012,0.461778591898498
4,2013,0.461778591898498
4,2014,0.461778591898498
4,2015,0.461778591898498
4,2016,0.461778591898498
4,2017,0.461778591898498
5,2011,0.455548488802855
5,2012,0.461778591898498
5,2013,0.461778591898498
5,2014,0.461778591898498
5,2015,0.461778591898498
5,2016,0.461778591898498
5,2017,0.461778591898498
6,2011,0.455548488802855
6,2012,0.461778591898498
6,2013,0.461778591898498
6,2014,0.461778591898498
6,2015,0.461778591898498
6,2016,0.461778591898498
6,2017,0.461778591898498
7,2011,0.455548488802855
7,2012,0.461778591898498
7,2013,0.461778591898498
7,2014,0.461778591898498
7,2015,0.461778591898498
7,2016,0.461778591898498
7,2017,0.461778591898498
8,2011,0.455548488802855
8,2012,0.461778591898498
8,2013,0.461778591898498
8,2014,0.461778591898498
8,2015,0.461778591898498
8,2016,0.461778591898498
8,2017,0.461778591898498
9,2011,0.455548488802855
9,2012,0.461778591898498
9,2013,0.461778591898498
9,2014,0.461778591898498
9,2015,0.461778591898498
9,2016,0.461778591898498
9,2017,0.461778591898498
