rgn_id,year,resilience_score
1,1996,0.785115836064021
1,1998,0.79047309756279
1,2000,0.804305613040924
1,2002,0.77799463570118
1,2003,0.761574091017246
1,2004,0.759714272618293
1,2005,0.747586380441983
1,2006,0.756991392374039
1,2007,0.750948253273964
1,2008,0.76162132024765
1,2009,0.741754682858785
1,2010,0.747644778092702
1,2011,0.751331623395284
1,2012,0.753112101554871
1,2013,0.744526088237763
1,2014,0.743460601568222
1,2015,0.750535662968953
2,1996,0.785115836064021
2,1998,0.79047309756279
2,2000,0.804305613040924
2,2002,0.77799463570118
2,2003,0.761574091017246
2,2004,0.759714272618293
2,2005,0.747586380441983
2,2006,0.756991392374039
2,2007,0.750948253273964
2,2008,0.76162132024765
2,2009,0.741754682858785
2,2010,0.747644778092702
2,2011,0.751331623395284
2,2012,0.753112101554871
2,2013,0.744526088237763
2,2014,0.743460601568222
2,2015,0.750535662968953
3,1996,0.785115836064021
3,1998,0.79047309756279
3,2000,0.804305613040924
3,2002,0.77799463570118
3,2003,0.761574091017246
3,2004,0.759714272618293
3,2005,0.747586380441983
3,2006,0.756991392374039
3,2007,0.750948253273964
3,2008,0.76162132024765
3,2009,0.741754682858785
3,2010,0.747644778092702
3,2011,0.751331623395284
3,2012,0.753112101554871
3,2013,0.744526088237763
3,2014,0.743460601568222
3,2015,0.750535662968953
4,1996,0.785115836064021
4,1998,0.79047309756279
4,2000,0.804305613040924
4,2002,0.77799463570118
4,2003,0.761574091017246
4,2004,0.759714272618293
4,2005,0.747586380441983
4,2006,0.756991392374039
4,2007,0.750948253273964
4,2008,0.76162132024765
4,2009,0.741754682858785
4,2010,0.747644778092702
4,2011,0.751331623395284
4,2012,0.753112101554871
4,2013,0.744526088237763
4,2014,0.743460601568222
4,2015,0.750535662968953
5,1996,0.785115836064021
5,1998,0.79047309756279
5,2000,0.804305613040924
5,2002,0.77799463570118
5,2003,0.761574091017246
5,2004,0.759714272618293
5,2005,0.747586380441983
5,2006,0.756991392374039
5,2007,0.750948253273964
5,2008,0.76162132024765
5,2009,0.741754682858785
5,2010,0.747644778092702
5,2011,0.751331623395284
5,2012,0.753112101554871
5,2013,0.744526088237763
5,2014,0.743460601568222
5,2015,0.750535662968953
6,1996,0.785115836064021
6,1998,0.79047309756279
6,2000,0.804305613040924
6,2002,0.77799463570118
6,2003,0.761574091017246
6,2004,0.759714272618293
6,2005,0.747586380441983
6,2006,0.756991392374039
6,2007,0.750948253273964
6,2008,0.76162132024765
6,2009,0.741754682858785
6,2010,0.747644778092702
6,2011,0.751331623395284
6,2012,0.753112101554871
6,2013,0.744526088237763
6,2014,0.743460601568222
6,2015,0.750535662968953
7,1996,0.785115836064021
7,1998,0.79047309756279
7,2000,0.804305613040924
7,2002,0.77799463570118
7,2003,0.761574091017246
7,2004,0.759714272618293
7,2005,0.747586380441983
7,2006,0.756991392374039
7,2007,0.750948253273964
7,2008,0.76162132024765
7,2009,0.741754682858785
7,2010,0.747644778092702
7,2011,0.751331623395284
7,2012,0.753112101554871
7,2013,0.744526088237763
7,2014,0.743460601568222
7,2015,0.750535662968953
8,1996,0.785115836064021
8,1998,0.79047309756279
8,2000,0.804305613040924
8,2002,0.77799463570118
8,2003,0.761574091017246
8,2004,0.759714272618293
8,2005,0.747586380441983
8,2006,0.756991392374039
8,2007,0.750948253273964
8,2008,0.76162132024765
8,2009,0.741754682858785
8,2010,0.747644778092702
8,2011,0.751331623395284
8,2012,0.753112101554871
8,2013,0.744526088237763
8,2014,0.743460601568222
8,2015,0.750535662968953
9,1996,0.785115836064021
9,1998,0.79047309756279
9,2000,0.804305613040924
9,2002,0.77799463570118
9,2003,0.761574091017246
9,2004,0.759714272618293
9,2005,0.747586380441983
9,2006,0.756991392374039
9,2007,0.750948253273964
9,2008,0.76162132024765
9,2009,0.741754682858785
9,2010,0.747644778092702
9,2011,0.751331623395284
9,2012,0.753112101554871
9,2013,0.744526088237763
9,2014,0.743460601568222
9,2015,0.750535662968953
