rgn_id,year,Ep
8,2019,0.0368358
8,2020,0.0375022
8,2021,0.038319400000000003
8,2022,0.0391904
8,2023,0.0403743
8,2024,0.0411097
8,2025,0.0418449
8,2026,0.0425023
8,2027,0.043259
9,1995,0.0386566
9,1996,0.0406961
9,1997,0.0416282
9,1998,0.042227
9,1999,0.0429135
9,2000,0.04279
9,2001,0.0419617
9,2002,0.0410666
9,2003,0.039982
9,2004,0.0395202
9,2005,0.038825
9,2006,0.0381024
9,2007,0.0375423
9,2008,0.0367422
9,2009,0.0354795
9,2010,0.0351559
9,2011,0.0364398
9,2012,0.0362911
9,2013,0.0369778
9,2014,0.0362627
9,2015,0.0359271
9,2016,0.0362155
9,2017,0.0361336
9,2018,0.0362747
9,2019,0.0368358
9,2020,0.0375022
9,2021,0.038319400000000003
9,2022,0.0391904
9,2023,0.0403743
9,2024,0.0411097
9,2025,0.0418449
9,2026,0.0425023
9,2027,0.043259
