rgn_id,year,pressure_score
1,2012,0.245730294108709
1,2013,0.262501347545843
1,2014,0.278892408208331
1,2015,0.279868689648709
1,2016,0.305541293448998
2,2012,0.245730294108709
2,2013,0.262501347545843
2,2014,0.278892408208331
2,2015,0.279868689648709
2,2016,0.305541293448998
3,2012,0.245730294108709
3,2013,0.262501347545843
3,2014,0.278892408208331
3,2015,0.279868689648709
3,2016,0.305541293448998
4,2012,0.245730294108709
4,2013,0.262501347545843
4,2014,0.278892408208331
4,2015,0.279868689648709
4,2016,0.305541293448998
5,2012,0.245730294108709
5,2013,0.262501347545843
5,2014,0.278892408208331
5,2015,0.279868689648709
5,2016,0.305541293448998
6,2012,0.245730294108709
6,2013,0.262501347545843
6,2014,0.278892408208331
6,2015,0.279868689648709
6,2016,0.305541293448998
7,2012,0.245730294108709
7,2013,0.262501347545843
7,2014,0.278892408208331
7,2015,0.279868689648709
7,2016,0.305541293448998
8,2012,0.245730294108709
8,2013,0.262501347545843
8,2014,0.278892408208331
8,2015,0.279868689648709
8,2016,0.305541293448998
9,2012,0.245730294108709
9,2013,0.262501347545843
9,2014,0.278892408208331
9,2015,0.279868689648709
9,2016,0.305541293448998
