rgn_id,habitat,year,km2
1,coral,2012,3968.92
2,coral,2012,3968.92
3,coral,2012,3968.92
4,coral,2012,3968.92
5,coral,2012,3968.92
6,coral,2012,3968.92
7,coral,2012,3968.92
8,coral,2012,3968.92
9,coral,2012,3968.92
