rgn_id,year,trend
1,2012,-1
1,2013,-1
1,2014,-1
1,2015,0
2,2012,-1
2,2013,-1
2,2014,-1
2,2015,0
3,2012,-1
3,2013,-1
3,2014,-1
3,2015,0
4,2012,-1
4,2013,-1
4,2014,-1
4,2015,0
5,2012,-1
5,2013,-1
5,2014,-1
5,2015,0
6,2012,-1
6,2013,-1
6,2014,-1
6,2015,0
7,2012,-1
7,2013,-1
7,2014,-1
7,2015,0
8,2012,-1
8,2013,-1
8,2014,-1
8,2015,0
9,2012,-1
9,2013,-1
9,2014,-1
9,2015,0
