rgn_id,year,resilience.score
1,2011,0.616198944292111
1,2012,0.616464723473591
1,2013,0.616464723473591
1,2014,0.616464723473591
1,2015,0.616464723473591
1,2016,0.621388137310954
1,2017,0.621388137310954
2,2011,0.616198944292111
2,2012,0.616464723473591
2,2013,0.616464723473591
2,2014,0.616464723473591
2,2015,0.616464723473591
2,2016,0.621388137310954
2,2017,0.621388137310954
3,2011,0.616198944292111
3,2012,0.616464723473591
3,2013,0.616464723473591
3,2014,0.616464723473591
3,2015,0.616464723473591
3,2016,0.621388137310954
3,2017,0.621388137310954
4,2011,0.616198944292111
4,2012,0.616464723473591
4,2013,0.616464723473591
4,2014,0.616464723473591
4,2015,0.616464723473591
4,2016,0.621388137310954
4,2017,0.621388137310954
5,2011,0.616198944292111
5,2012,0.616464723473591
5,2013,0.616464723473591
5,2014,0.616464723473591
5,2015,0.616464723473591
5,2016,0.621388137310954
5,2017,0.621388137310954
6,2011,0.616198944292111
6,2012,0.616464723473591
6,2013,0.616464723473591
6,2014,0.616464723473591
6,2015,0.616464723473591
6,2016,0.621388137310954
6,2017,0.621388137310954
7,2011,0.616198944292111
7,2012,0.616464723473591
7,2013,0.616464723473591
7,2014,0.616464723473591
7,2015,0.616464723473591
7,2016,0.621388137310954
7,2017,0.621388137310954
8,2011,0.616198944292111
8,2012,0.616464723473591
8,2013,0.616464723473591
8,2014,0.616464723473591
8,2015,0.616464723473591
8,2016,0.621388137310954
8,2017,0.621388137310954
9,2011,0.616198944292111
9,2012,0.616464723473591
9,2013,0.616464723473591
9,2014,0.616464723473591
9,2015,0.616464723473591
9,2016,0.621388137310954
9,2017,0.621388137310954
