rgn_id,year,pressure_score
1,2012,0.334891597883277
1,2013,0.336175030000228
1,2014,0.33310610217482
1,2015,0.338071950001697
1,2016,0.336175126414717
2,2012,0.334891597883277
2,2013,0.336175030000228
2,2014,0.33310610217482
2,2015,0.338071950001697
2,2016,0.336175126414717
3,2012,0.334891597883277
3,2013,0.336175030000228
3,2014,0.33310610217482
3,2015,0.338071950001697
3,2016,0.336175126414717
4,2012,0.334891597883277
4,2013,0.336175030000228
4,2014,0.33310610217482
4,2015,0.338071950001697
4,2016,0.336175126414717
5,2012,0.334891597883277
5,2013,0.336175030000228
5,2014,0.33310610217482
5,2015,0.338071950001697
5,2016,0.336175126414717
6,2012,0.334891597883277
6,2013,0.336175030000228
6,2014,0.33310610217482
6,2015,0.338071950001697
6,2016,0.336175126414717
7,2012,0.334891597883277
7,2013,0.336175030000228
7,2014,0.33310610217482
7,2015,0.338071950001697
7,2016,0.336175126414717
8,2012,0.334891597883277
8,2013,0.336175030000228
8,2014,0.33310610217482
8,2015,0.338071950001697
8,2016,0.336175126414717
9,2012,0.334891597883277
9,2013,0.336175030000228
9,2014,0.33310610217482
9,2015,0.338071950001697
9,2016,0.336175126414717
