rgn_id,year,pressure_score
1,2012,0.238756418473096
1,2013,0.184546984516729
1,2014,0.147316182350456
1,2015,0.144610198741358
1,2016,0.14120067157751
2,2012,0.238756418473096
2,2013,0.184546984516729
2,2014,0.147316182350456
2,2015,0.144610198741358
2,2016,0.14120067157751
3,2012,0.238756418473096
3,2013,0.184546984516729
3,2014,0.147316182350456
3,2015,0.144610198741358
3,2016,0.14120067157751
4,2012,0.238756418473096
4,2013,0.184546984516729
4,2014,0.147316182350456
4,2015,0.144610198741358
4,2016,0.14120067157751
5,2012,0.238756418473096
5,2013,0.184546984516729
5,2014,0.147316182350456
5,2015,0.144610198741358
5,2016,0.14120067157751
6,2012,0.238756418473096
6,2013,0.184546984516729
6,2014,0.147316182350456
6,2015,0.144610198741358
6,2016,0.14120067157751
7,2012,0.238756418473096
7,2013,0.184546984516729
7,2014,0.147316182350456
7,2015,0.144610198741358
7,2016,0.14120067157751
8,2012,0.238756418473096
8,2013,0.184546984516729
8,2014,0.147316182350456
8,2015,0.144610198741358
8,2016,0.14120067157751
9,2012,0.238756418473096
9,2013,0.184546984516729
9,2014,0.147316182350456
9,2015,0.144610198741358
9,2016,0.14120067157751
