rgn_id,year,pressure_score
1,2013,0.19863663776598
1,2014,0.19812811772286
1,2015,0.196208612316481
1,2016,0.201337776622431
2,2013,0.19863663776598
2,2014,0.19812811772286
2,2015,0.196208612316481
2,2016,0.201337776622431
3,2013,0.19863663776598
3,2014,0.19812811772286
3,2015,0.196208612316481
3,2016,0.201337776622431
4,2013,0.19863663776598
4,2014,0.19812811772286
4,2015,0.196208612316481
4,2016,0.201337776622431
5,2013,0.19863663776598
5,2014,0.19812811772286
5,2015,0.196208612316481
5,2016,0.201337776622431
6,2013,0.19863663776598
6,2014,0.19812811772286
6,2015,0.196208612316481
6,2016,0.201337776622431
7,2013,0.19863663776598
7,2014,0.19812811772286
7,2015,0.196208612316481
7,2016,0.201337776622431
8,2013,0.19863663776598
8,2014,0.19812811772286
8,2015,0.196208612316481
8,2016,0.201337776622431
9,2013,0.19863663776598
9,2014,0.19812811772286
9,2015,0.196208612316481
9,2016,0.201337776622431
