rgn_id,habitat,year,km2
1,saltmarsh,2012,15747
2,saltmarsh,2012,15747
3,saltmarsh,2012,15747
4,saltmarsh,2012,15747
5,saltmarsh,2012,15747
6,saltmarsh,2012,15747
7,saltmarsh,2012,15747
8,saltmarsh,2012,15747
9,saltmarsh,2012,15747
