rgn_id,year,pressure_score
1,2013,0.432072300516021
1,2014,0.432717845313929
1,2015,0.434458800268092
1,2016,0.436297505174195
2,2013,0.432072300516021
2,2014,0.432717845313929
2,2015,0.434458800268092
2,2016,0.436297505174195
3,2013,0.432072300516021
3,2014,0.432717845313929
3,2015,0.434458800268092
3,2016,0.436297505174195
4,2013,0.432072300516021
4,2014,0.432717845313929
4,2015,0.434458800268092
4,2016,0.436297505174195
5,2013,0.432072300516021
5,2014,0.432717845313929
5,2015,0.434458800268092
5,2016,0.436297505174195
6,2013,0.432072300516021
6,2014,0.432717845313929
6,2015,0.434458800268092
6,2016,0.436297505174195
7,2013,0.432072300516021
7,2014,0.432717845313929
7,2015,0.434458800268092
7,2016,0.436297505174195
8,2013,0.432072300516021
8,2014,0.432717845313929
8,2015,0.434458800268092
8,2016,0.436297505174195
9,2013,0.432072300516021
9,2014,0.432717845313929
9,2015,0.434458800268092
9,2016,0.436297505174195
