rgn_id,year,jobs
1,1990,125353042.447447
1,1991,125982564.014958
1,1992,128238483.016631
1,1993,129663310.790123
1,1994,132028403.531558
1,1995,133829774.367378
1,1996,135888267.383511
1,1997,138301779.203932
1,1998,140329029.137121
1,1999,142182768.937447
1,2000,144034361.918406
1,2001,145094335.742314
1,2002,145868191.335977
1,2003,146551300.949114
1,2004,147553600.059372
1,2005,149459865.979928
1,2006,151435427.091192
1,2007,152690447.623726
1,2008,154401841.369211
1,2009,154563524.49914
1,2010,154136411.560343
1,2011,154248265.03802
1,2012,155343256.656179
2,1990,125353042.447447
2,1991,125982564.014958
2,1992,128238483.016631
2,1993,129663310.790123
2,1994,132028403.531558
2,1995,133829774.367378
2,1996,135888267.383511
2,1997,138301779.203932
2,1998,140329029.137121
2,1999,142182768.937447
2,2000,144034361.918406
2,2001,145094335.742314
2,2002,145868191.335977
2,2003,146551300.949114
2,2004,147553600.059372
2,2005,149459865.979928
2,2006,151435427.091192
2,2007,152690447.623726
2,2008,154401841.369211
2,2009,154563524.49914
2,2010,154136411.560343
2,2011,154248265.03802
2,2012,155343256.656179
3,1990,125353042.447447
3,1991,125982564.014958
3,1992,128238483.016631
3,1993,129663310.790123
3,1994,132028403.531558
3,1995,133829774.367378
3,1996,135888267.383511
3,1997,138301779.203932
3,1998,140329029.137121
3,1999,142182768.937447
3,2000,144034361.918406
3,2001,145094335.742314
3,2002,145868191.335977
3,2003,146551300.949114
3,2004,147553600.059372
3,2005,149459865.979928
3,2006,151435427.091192
3,2007,152690447.623726
3,2008,154401841.369211
3,2009,154563524.49914
3,2010,154136411.560343
3,2011,154248265.03802
3,2012,155343256.656179
4,1990,125353042.447447
4,1991,125982564.014958
4,1992,128238483.016631
4,1993,129663310.790123
4,1994,132028403.531558
4,1995,133829774.367378
4,1996,135888267.383511
4,1997,138301779.203932
4,1998,140329029.137121
4,1999,142182768.937447
4,2000,144034361.918406
4,2001,145094335.742314
4,2002,145868191.335977
4,2003,146551300.949114
4,2004,147553600.059372
4,2005,149459865.979928
4,2006,151435427.091192
4,2007,152690447.623726
4,2008,154401841.369211
4,2009,154563524.49914
4,2010,154136411.560343
4,2011,154248265.03802
4,2012,155343256.656179
5,1990,125353042.447447
5,1991,125982564.014958
5,1992,128238483.016631
5,1993,129663310.790123
5,1994,132028403.531558
5,1995,133829774.367378
5,1996,135888267.383511
5,1997,138301779.203932
5,1998,140329029.137121
5,1999,142182768.937447
5,2000,144034361.918406
5,2001,145094335.742314
5,2002,145868191.335977
5,2003,146551300.949114
5,2004,147553600.059372
5,2005,149459865.979928
5,2006,151435427.091192
5,2007,152690447.623726
5,2008,154401841.369211
5,2009,154563524.49914
5,2010,154136411.560343
5,2011,154248265.03802
5,2012,155343256.656179
6,1990,125353042.447447
6,1991,125982564.014958
6,1992,128238483.016631
6,1993,129663310.790123
6,1994,132028403.531558
6,1995,133829774.367378
6,1996,135888267.383511
6,1997,138301779.203932
6,1998,140329029.137121
6,1999,142182768.937447
6,2000,144034361.918406
6,2001,145094335.742314
6,2002,145868191.335977
6,2003,146551300.949114
6,2004,147553600.059372
6,2005,149459865.979928
6,2006,151435427.091192
6,2007,152690447.623726
6,2008,154401841.369211
6,2009,154563524.49914
6,2010,154136411.560343
6,2011,154248265.03802
6,2012,155343256.656179
7,1990,125353042.447447
7,1991,125982564.014958
7,1992,128238483.016631
7,1993,129663310.790123
7,1994,132028403.531558
7,1995,133829774.367378
7,1996,135888267.383511
7,1997,138301779.203932
7,1998,140329029.137121
7,1999,142182768.937447
7,2000,144034361.918406
7,2001,145094335.742314
7,2002,145868191.335977
7,2003,146551300.949114
7,2004,147553600.059372
7,2005,149459865.979928
7,2006,151435427.091192
7,2007,152690447.623726
7,2008,154401841.369211
7,2009,154563524.49914
7,2010,154136411.560343
7,2011,154248265.03802
7,2012,155343256.656179
8,1990,125353042.447447
8,1991,125982564.014958
8,1992,128238483.016631
8,1993,129663310.790123
8,1994,132028403.531558
8,1995,133829774.367378
8,1996,135888267.383511
8,1997,138301779.203932
8,1998,140329029.137121
8,1999,142182768.937447
8,2000,144034361.918406
8,2001,145094335.742314
8,2002,145868191.335977
8,2003,146551300.949114
8,2004,147553600.059372
8,2005,149459865.979928
8,2006,151435427.091192
8,2007,152690447.623726
8,2008,154401841.369211
8,2009,154563524.49914
8,2010,154136411.560343
8,2011,154248265.03802
8,2012,155343256.656179
9,1990,125353042.447447
9,1991,125982564.014958
9,1992,128238483.016631
9,1993,129663310.790123
9,1994,132028403.531558
9,1995,133829774.367378
9,1996,135888267.383511
9,1997,138301779.203932
9,1998,140329029.137121
9,1999,142182768.937447
9,2000,144034361.918406
9,2001,145094335.742314
9,2002,145868191.335977
9,2003,146551300.949114
9,2004,147553600.059372
9,2005,149459865.979928
9,2006,151435427.091192
9,2007,152690447.623726
9,2008,154401841.369211
9,2009,154563524.49914
9,2010,154136411.560343
9,2011,154248265.03802
9,2012,155343256.656179
