rgn_id,habitat,year,km2
1,rocky_reef,2012,55055
2,rocky_reef,2012,55055
3,rocky_reef,2012,55055
4,rocky_reef,2012,55055
5,rocky_reef,2012,55055
6,rocky_reef,2012,55055
7,rocky_reef,2012,55055
8,rocky_reef,2012,55055
9,rocky_reef,2012,55055
