rgn_id,year,score
1,2012,0.775291116428572
1,2013,0.781082835571429
1,2014,0.783214877571429
1,2015,0.79199755
2,2012,0.775291116428572
2,2013,0.781082835571429
2,2014,0.783214877571429
2,2015,0.79199755
3,2012,0.775291116428572
3,2013,0.781082835571429
3,2014,0.783214877571429
3,2015,0.79199755
4,2012,0.775291116428572
4,2013,0.781082835571429
4,2014,0.783214877571429
4,2015,0.79199755
5,2012,0.775291116428572
5,2013,0.781082835571429
5,2014,0.783214877571429
5,2015,0.79199755
6,2012,0.775291116428572
6,2013,0.781082835571429
6,2014,0.783214877571429
6,2015,0.79199755
7,2012,0.775291116428572
7,2013,0.781082835571429
7,2014,0.783214877571429
7,2015,0.79199755
8,2012,0.775291116428572
8,2013,0.781082835571429
8,2014,0.783214877571429
8,2015,0.79199755
9,2012,0.775291116428572
9,2013,0.781082835571429
9,2014,0.783214877571429
9,2015,0.79199755
