rgn_id,year,w_fis
1,2012,0.968501125156152
1,2013,0.974449194445895
1,2014,0.966036698223432
1,2015,0.966384168551076
1,2016,0.966295636350819
2,2012,0.968501125156152
2,2013,0.974449194445895
2,2014,0.966036698223432
2,2015,0.966384168551076
2,2016,0.966295636350819
3,2012,0.968501125156152
3,2013,0.974449194445895
3,2014,0.966036698223432
3,2015,0.966384168551076
3,2016,0.966295636350819
4,2012,0.968501125156152
4,2013,0.974449194445895
4,2014,0.966036698223432
4,2015,0.966384168551076
4,2016,0.966295636350819
5,2012,0.968501125156152
5,2013,0.974449194445895
5,2014,0.966036698223432
5,2015,0.966384168551076
5,2016,0.966295636350819
6,2012,0.968501125156152
6,2013,0.974449194445895
6,2014,0.966036698223432
6,2015,0.966384168551076
6,2016,0.966295636350819
7,2012,0.968501125156152
7,2013,0.974449194445895
7,2014,0.966036698223432
7,2015,0.966384168551076
7,2016,0.966295636350819
8,2012,0.968501125156152
8,2013,0.974449194445895
8,2014,0.966036698223432
8,2015,0.966384168551076
8,2016,0.966295636350819
9,2012,0.968501125156152
9,2013,0.974449194445895
9,2014,0.966036698223432
9,2015,0.966384168551076
9,2016,0.966295636350819
