rgn_id,habitat,year,km2
1,seagrass,2012,17906
2,seagrass,2012,17906
3,seagrass,2012,17906
4,seagrass,2012,17906
5,seagrass,2012,17906
6,seagrass,2012,17906
7,seagrass,2012,17906
8,seagrass,2012,17906
9,seagrass,2012,17906
