rgn_id,year,pressure_score
1,2012,0.217439595695785
1,2013,0.217504873444083
1,2014,0.217349281717179
1,2015,0.217600444348415
1,2016,0.217506183632589
2,2012,0.217439595695785
2,2013,0.217504873444083
2,2014,0.217349281717179
2,2015,0.217600444348415
2,2016,0.217506183632589
3,2012,0.217439595695785
3,2013,0.217504873444083
3,2014,0.217349281717179
3,2015,0.217600444348415
3,2016,0.217506183632589
4,2012,0.217439595695785
4,2013,0.217504873444083
4,2014,0.217349281717179
4,2015,0.217600444348415
4,2016,0.217506183632589
5,2012,0.217439595695785
5,2013,0.217504873444083
5,2014,0.217349281717179
5,2015,0.217600444348415
5,2016,0.217506183632589
6,2012,0.217439595695785
6,2013,0.217504873444083
6,2014,0.217349281717179
6,2015,0.217600444348415
6,2016,0.217506183632589
7,2012,0.217439595695785
7,2013,0.217504873444083
7,2014,0.217349281717179
7,2015,0.217600444348415
7,2016,0.217506183632589
8,2012,0.217439595695785
8,2013,0.217504873444083
8,2014,0.217349281717179
8,2015,0.217600444348415
8,2016,0.217506183632589
9,2012,0.217439595695785
9,2013,0.217504873444083
9,2014,0.217349281717179
9,2015,0.217600444348415
9,2016,0.217506183632589
