rgn_id,stock_id,year,bbmsy
1,Chanos_chanos-77,2009,0.38618409555121
1,Chanos_chanos-77,2010,0.407239352449222
1,Acanthocybium_solandri-31,2001,1.29582441255614
1,Acanthocybium_solandri-31,2002,1.31067028377261
1,Acanthocybium_solandri-31,2003,1.30652322386843
1,Acanthocybium_solandri-31,2004,1.27766378944778
1,Acanthocybium_solandri-31,2005,1.22751790717258
1,Acanthocybium_solandri-31,2006,1.16398471114907
1,Acanthocybium_solandri-31,2007,1.10285039960154
1,Acanthocybium_solandri-31,2008,1.06317864803845
1,Acanthocybium_solandri-31,2009,1.04259889899719
1,Acanthocybium_solandri-31,2010,1.0479856081502401
1,Auxis_rochei-31,2001,0.590594269436451
1,Auxis_rochei-31,2002,0.606341254487487
1,Auxis_rochei-31,2003,0.598716514728237
1,Auxis_rochei-31,2004,0.544845351568728
1,Auxis_rochei-31,2005,0.473409562858486
1,Auxis_rochei-31,2006,0.44288238023609
1,Auxis_rochei-31,2007,0.424819840849506
1,Auxis_rochei-31,2008,0.410669804246771
1,Auxis_rochei-31,2009,0.434107223066708
1,Auxis_rochei-31,2010,0.453281108914488
1,Auxis_thazard-31,2001,0.701485879541417
1,Auxis_thazard-31,2002,0.645218181392835
1,Auxis_thazard-31,2003,0.586618943130518
1,Auxis_thazard-31,2004,0.502172160587528
1,Auxis_thazard-31,2005,0.404521225579748
1,Auxis_thazard-31,2006,0.350853073250657
1,Auxis_thazard-31,2007,0.342579341513393
1,Auxis_thazard-31,2008,0.341436116411045
1,Auxis_thazard-31,2009,0.362100588807323
1,Auxis_thazard-31,2010,0.401273239449096
1,Euthynnus_alletteratus-31,2001,0.830730547055837
1,Euthynnus_alletteratus-31,2002,0.771082963919646
1,Euthynnus_alletteratus-31,2003,0.714188077320978
1,Euthynnus_alletteratus-31,2004,0.652992433716568
1,Euthynnus_alletteratus-31,2005,0.593934833922574
1,Euthynnus_alletteratus-31,2006,0.546792479177095
1,Euthynnus_alletteratus-31,2007,0.523468911507416
1,Euthynnus_alletteratus-31,2008,0.504560096261371
1,Euthynnus_alletteratus-31,2009,0.485093664576576
1,Euthynnus_alletteratus-31,2010,0.465255027019212
1,Katsuwonus_pelamis-31,2001,0.423710947591928
1,Katsuwonus_pelamis-31,2002,0.401224827596255
1,Katsuwonus_pelamis-31,2003,0.385895918720392
1,Katsuwonus_pelamis-31,2004,0.366924051403159
1,Katsuwonus_pelamis-31,2005,0.35222260079097
1,Katsuwonus_pelamis-31,2006,0.356103800846722
1,Katsuwonus_pelamis-31,2007,0.368630058513921
1,Katsuwonus_pelamis-31,2008,0.38716944958923
1,Katsuwonus_pelamis-31,2009,0.407119917620574
1,Katsuwonus_pelamis-31,2010,0.424433252613915
1,Katsuwonus_pelamis-61,2001,0.684280864233998
1,Katsuwonus_pelamis-61,2002,0.653483213461771
1,Katsuwonus_pelamis-61,2003,0.630680369153999
1,Katsuwonus_pelamis-61,2004,0.606231488072782
1,Katsuwonus_pelamis-61,2005,0.586029041068458
1,Katsuwonus_pelamis-61,2006,0.563598749388818
1,Katsuwonus_pelamis-61,2007,0.537804218155882
1,Katsuwonus_pelamis-61,2008,0.516877778708843
1,Katsuwonus_pelamis-61,2009,0.500807745947447
1,Katsuwonus_pelamis-61,2010,0.490979783917422
1,Katsuwonus_pelamis-67,2001,0.270141125827565
1,Katsuwonus_pelamis-67,2002,0.325908983035416
1,Katsuwonus_pelamis-77,2001,1.47604059607901
1,Katsuwonus_pelamis-77,2002,1.45672369283906
1,Katsuwonus_pelamis-77,2003,1.43278019084879
1,Katsuwonus_pelamis-77,2004,1.41989812263183
1,Katsuwonus_pelamis-77,2005,1.36122333876661
1,Katsuwonus_pelamis-77,2006,1.2859689789505
1,Katsuwonus_pelamis-77,2007,1.29194665166822
1,Katsuwonus_pelamis-77,2008,1.3118359626508
1,Katsuwonus_pelamis-77,2009,1.26766364747029
1,Katsuwonus_pelamis-77,2010,1.24414437126805
1,Sarda_chiliensis-77,2001,1.40710537791985
1,Sarda_chiliensis-77,2002,1.49017188912604
1,Sarda_chiliensis-77,2003,1.56601557389647
1,Sarda_chiliensis-77,2004,1.64262105540608
1,Sarda_chiliensis-77,2005,1.71021263918844
1,Sarda_chiliensis-77,2006,1.76990436816168
1,Sarda_chiliensis-77,2007,1.69407926180975
1,Sarda_chiliensis-77,2008,1.58197467210203
1,Sarda_chiliensis-77,2009,1.43529035306113
1,Sarda_chiliensis-77,2010,1.21279750151328
1,Scomber_japonicus-67,2001,0.267
1,Scomber_japonicus-67,2002,0.223
1,Scomber_japonicus-67,2003,0.259
1,Scomber_japonicus-67,2004,0.262
1,Scomber_japonicus-67,2005,0.24
1,Scomber_japonicus-67,2006,0.328
1,Scomber_japonicus-67,2007,0.463
1,Scomber_japonicus-67,2008,0.68
1,Scomber_japonicus-77,2001,0.267
1,Scomber_japonicus-77,2002,0.223
1,Scomber_japonicus-77,2003,0.259
1,Scomber_japonicus-77,2004,0.262
1,Scomber_japonicus-77,2005,0.24
1,Scomber_japonicus-77,2006,0.328
1,Scomber_japonicus-77,2007,0.463
1,Scomber_japonicus-77,2008,0.68
