rgn_id,habitat,year,health
1,seaice_edge,2006,1
1,seaice_shoreline,2006,0.932245159225476
1,seaice_edge,2007,1
1,seaice_shoreline,2007,0.95806262335307
1,seaice_edge,2008,1
1,seaice_shoreline,2008,0.974726622926335
1,seaice_edge,2009,1
1,seaice_shoreline,2009,0.96346082039793
1,seaice_edge,2010,0.980973514419135
1,seaice_shoreline,2010,0.964869045713981
1,seaice_edge,2011,0.959799308451859
1,seaice_shoreline,2011,0.937408652050995
1,seaice_edge,2012,0.9547018144227
1,seaice_shoreline,2012,0.963226116178589
1,seaice_edge,2013,0.940977792036502
1,seaice_shoreline,2013,0.962991411959247
1,seaice_edge,2014,0.907844080846968
1,seaice_shoreline,2014,0.932245159225476
1,seaice_edge,2015,0.913039603607457
1,seaice_shoreline,2015,0.874038512828719
1,seaice_edge,2016,0.890002851744911
1,seaice_shoreline,2016,0.822872993012215
2,seaice_edge,2006,1
2,seaice_shoreline,2006,0.932245159225476
2,seaice_edge,2007,1
2,seaice_shoreline,2007,0.95806262335307
2,seaice_edge,2008,1
2,seaice_shoreline,2008,0.974726622926335
2,seaice_edge,2009,1
2,seaice_shoreline,2009,0.96346082039793
2,seaice_edge,2010,0.980973514419135
2,seaice_shoreline,2010,0.964869045713981
2,seaice_edge,2011,0.959799308451859
2,seaice_shoreline,2011,0.937408652050995
2,seaice_edge,2012,0.9547018144227
2,seaice_shoreline,2012,0.963226116178589
2,seaice_edge,2013,0.940977792036502
2,seaice_shoreline,2013,0.962991411959247
2,seaice_edge,2014,0.907844080846968
2,seaice_shoreline,2014,0.932245159225476
2,seaice_edge,2015,0.913039603607457
2,seaice_shoreline,2015,0.874038512828719
2,seaice_edge,2016,0.890002851744911
2,seaice_shoreline,2016,0.822872993012215
3,seaice_edge,2006,1
3,seaice_shoreline,2006,0.932245159225476
3,seaice_edge,2007,1
3,seaice_shoreline,2007,0.95806262335307
3,seaice_edge,2008,1
3,seaice_shoreline,2008,0.974726622926335
3,seaice_edge,2009,1
3,seaice_shoreline,2009,0.96346082039793
3,seaice_edge,2010,0.980973514419135
3,seaice_shoreline,2010,0.964869045713981
3,seaice_edge,2011,0.959799308451859
3,seaice_shoreline,2011,0.937408652050995
3,seaice_edge,2012,0.9547018144227
3,seaice_shoreline,2012,0.963226116178589
3,seaice_edge,2013,0.940977792036502
3,seaice_shoreline,2013,0.962991411959247
3,seaice_edge,2014,0.907844080846968
3,seaice_shoreline,2014,0.932245159225476
3,seaice_edge,2015,0.913039603607457
3,seaice_shoreline,2015,0.874038512828719
3,seaice_edge,2016,0.890002851744911
3,seaice_shoreline,2016,0.822872993012215
4,seaice_edge,2006,1
4,seaice_shoreline,2006,0.932245159225476
4,seaice_edge,2007,1
4,seaice_shoreline,2007,0.95806262335307
4,seaice_edge,2008,1
4,seaice_shoreline,2008,0.974726622926335
4,seaice_edge,2009,1
4,seaice_shoreline,2009,0.96346082039793
4,seaice_edge,2010,0.980973514419135
4,seaice_shoreline,2010,0.964869045713981
4,seaice_edge,2011,0.959799308451859
4,seaice_shoreline,2011,0.937408652050995
4,seaice_edge,2012,0.9547018144227
4,seaice_shoreline,2012,0.963226116178589
4,seaice_edge,2013,0.940977792036502
4,seaice_shoreline,2013,0.962991411959247
4,seaice_edge,2014,0.907844080846968
4,seaice_shoreline,2014,0.932245159225476
4,seaice_edge,2015,0.913039603607457
4,seaice_shoreline,2015,0.874038512828719
4,seaice_edge,2016,0.890002851744911
4,seaice_shoreline,2016,0.822872993012215
5,seaice_edge,2006,1
5,seaice_shoreline,2006,0.932245159225476
5,seaice_edge,2007,1
5,seaice_shoreline,2007,0.95806262335307
5,seaice_edge,2008,1
5,seaice_shoreline,2008,0.974726622926335
5,seaice_edge,2009,1
5,seaice_shoreline,2009,0.96346082039793
5,seaice_edge,2010,0.980973514419135
5,seaice_shoreline,2010,0.964869045713981
5,seaice_edge,2011,0.959799308451859
5,seaice_shoreline,2011,0.937408652050995
5,seaice_edge,2012,0.9547018144227
5,seaice_shoreline,2012,0.963226116178589
5,seaice_edge,2013,0.940977792036502
5,seaice_shoreline,2013,0.962991411959247
5,seaice_edge,2014,0.907844080846968
5,seaice_shoreline,2014,0.932245159225476
5,seaice_edge,2015,0.913039603607457
5,seaice_shoreline,2015,0.874038512828719
5,seaice_edge,2016,0.890002851744911
5,seaice_shoreline,2016,0.822872993012215
6,seaice_edge,2006,1
6,seaice_shoreline,2006,0.932245159225476
6,seaice_edge,2007,1
6,seaice_shoreline,2007,0.95806262335307
6,seaice_edge,2008,1
6,seaice_shoreline,2008,0.974726622926335
6,seaice_edge,2009,1
6,seaice_shoreline,2009,0.96346082039793
6,seaice_edge,2010,0.980973514419135
6,seaice_shoreline,2010,0.964869045713981
6,seaice_edge,2011,0.959799308451859
6,seaice_shoreline,2011,0.937408652050995
6,seaice_edge,2012,0.9547018144227
6,seaice_shoreline,2012,0.963226116178589
6,seaice_edge,2013,0.940977792036502
6,seaice_shoreline,2013,0.962991411959247
6,seaice_edge,2014,0.907844080846968
6,seaice_shoreline,2014,0.932245159225476
6,seaice_edge,2015,0.913039603607457
6,seaice_shoreline,2015,0.874038512828719
