rgn_id,year,pressure_score
1,2012,0.172329652900628
1,2013,0.0155989457264268
1,2014,0.156699582584733
1,2015,0.0268693174107749
1,2016,0.113929431769874
2,2012,0.172329652900628
2,2013,0.0155989457264268
2,2014,0.156699582584733
2,2015,0.0268693174107749
2,2016,0.113929431769874
3,2012,0.172329652900628
3,2013,0.0155989457264268
3,2014,0.156699582584733
3,2015,0.0268693174107749
3,2016,0.113929431769874
4,2012,0.172329652900628
4,2013,0.0155989457264268
4,2014,0.156699582584733
4,2015,0.0268693174107749
4,2016,0.113929431769874
5,2012,0.172329652900628
5,2013,0.0155989457264268
5,2014,0.156699582584733
5,2015,0.0268693174107749
5,2016,0.113929431769874
6,2012,0.172329652900628
6,2013,0.0155989457264268
6,2014,0.156699582584733
6,2015,0.0268693174107749
6,2016,0.113929431769874
7,2012,0.172329652900628
7,2013,0.0155989457264268
7,2014,0.156699582584733
7,2015,0.0268693174107749
7,2016,0.113929431769874
8,2012,0.172329652900628
8,2013,0.0155989457264268
8,2014,0.156699582584733
8,2015,0.0268693174107749
8,2016,0.113929431769874
9,2012,0.172329652900628
9,2013,0.0155989457264268
9,2014,0.156699582584733
9,2015,0.0268693174107749
9,2016,0.113929431769874
