rgn_id,year,resilience_score
1,2014,0.8621
1,2015,0.86240000000000006
1,2016,0.862783333333333
1,2017,0.864291666666667
2,2014,0.8621
2,2015,0.86240000000000006
2,2016,0.862783333333333
2,2017,0.864291666666667
3,2014,0.8621
3,2015,0.86240000000000006
3,2016,0.862783333333333
3,2017,0.864291666666667
4,2014,0.8621
4,2015,0.86240000000000006
4,2016,0.862783333333333
4,2017,0.864291666666667
5,2014,0.8621
5,2015,0.86240000000000006
5,2016,0.862783333333333
5,2017,0.864291666666667
6,2014,0.8621
6,2015,0.86240000000000006
6,2016,0.862783333333333
6,2017,0.864291666666667
7,2014,0.8621
7,2015,0.86240000000000006
7,2016,0.862783333333333
7,2017,0.864291666666667
8,2014,0.8621
8,2015,0.86240000000000006
8,2016,0.862783333333333
8,2017,0.864291666666667
9,2014,0.8621
9,2015,0.86240000000000006
9,2016,0.862783333333333
9,2017,0.864291666666667
