rgn_id,sciname,iucn_sid,year,category
1,Lepidochelys kempii,11533,2014.0,CR
1,Lepidochelys olivacea,11534,2014.0,VU
1,Megachasma pelagios,39338,2014.0,LC
1,Megaptera novaeangliae,13006,2014.0,LC
1,Prionace glauca,39381,2014.0,NT
1,Rhincodon typus,19488,2014.0,VU
1,Steno bredanensis,20738,2014.0,LC
1,Triaenodon obesus,39384,2014.0,NT
1,Ursus maritimus,22823,2014.0,VU
1,Alopias vulpinus,39339,2013.0,VU
1,Balaena mysticetus,2467,2013.0,LC
1,Balaena mysticetus,2468,2013.0,CD
1,Balaenoptera acutorostrata,2474,2013.0,LC
1,Balaenoptera borealis,2475,2013.0,EN
1,Balaenoptera musculus,2477,2013.0,EN
1,Balaenoptera physalus,2478,2013.0,EN
1,Carcharhinus amblyrhynchos,39365,2013.0,NT
1,Carcharhinus perezi,60217,2013.0,NT
1,Carcharodon carcharias,3855,2013.0,VU
1,Caretta caretta,3897,2013.0,EN
1,Caretta caretta,83652278,2013.0,LC
1,Caretta caretta,84131194,2013.0,LC
1,Cetorhinus maximus,4292,2013.0,VU
1,Cetorhinus maximus,39545,2013.0,EN
1,Chelonia mydas,4615,2013.0,EN
1,Chelonia mydas,16285718,2013.0,LC
1,Dermochelys coriacea,6494,2013.0,VU
1,Dermochelys coriacea,46967807,2013.0,CR
1,Dermochelys coriacea,46967817,2013.0,CR
1,Dermochelys coriacea,46967827,2013.0,LC
1,Eretmochelys imbricata,8005,2013.0,CR
1,Eschrichtius robustus,8097,2013.0,LC
1,Eubalaena glacialis,41712,2013.0,EN
1,Eubalaena japonica,41711,2013.0,EN
1,Eubalaena japonica,133706,2013.0,CR
1,Galeocerdo cuvier,39378,2013.0,NT
1,Isurus oxyrinchus,39341,2013.0,VU
1,Isurus oxyrinchus,161749,2013.0,VU
1,Isurus oxyrinchus,161751,2013.0,NT
1,Isurus paucus,60225,2013.0,VU
1,Lamna nasus,11200,2013.0,VU
1,Lamna nasus,39344,2013.0,EN
1,Lepidochelys kempii,11533,2013.0,CR
1,Lepidochelys olivacea,11534,2013.0,VU
1,Megachasma pelagios,39338,2013.0,LC
1,Megaptera novaeangliae,13006,2013.0,LC
1,Prionace glauca,39381,2013.0,NT
1,Rhincodon typus,19488,2013.0,VU
1,Steno bredanensis,20738,2013.0,LC
1,Triaenodon obesus,39384,2013.0,NT
1,Ursus maritimus,22823,2013.0,VU
1,Alopias vulpinus,39339,2012.0,VU
1,Balaena mysticetus,2467,2012.0,LC
1,Balaena mysticetus,2468,2012.0,CD
1,Balaenoptera acutorostrata,2474,2012.0,LC
1,Balaenoptera borealis,2475,2012.0,EN
1,Balaenoptera musculus,2477,2012.0,EN
1,Balaenoptera physalus,2478,2012.0,EN
1,Carcharhinus amblyrhynchos,39365,2012.0,NT
1,Carcharhinus perezi,60217,2012.0,NT
1,Carcharodon carcharias,3855,2012.0,VU
1,Caretta caretta,3897,2012.0,EN
1,Caretta caretta,83652278,2012.0,LC
1,Caretta caretta,84131194,2012.0,LC
1,Cetorhinus maximus,4292,2012.0,VU
1,Cetorhinus maximus,39545,2012.0,EN
1,Chelonia mydas,4615,2012.0,EN
1,Chelonia mydas,16285718,2012.0,LC
1,Dermochelys coriacea,6494,2012.0,CR
1,Dermochelys coriacea,46967807,2012.0,CR
1,Dermochelys coriacea,46967817,2012.0,CR
1,Dermochelys coriacea,46967827,2012.0,LC
1,Eretmochelys imbricata,8005,2012.0,CR
1,Eschrichtius robustus,8097,2012.0,LC
1,Eubalaena glacialis,41712,2012.0,EN
1,Eubalaena japonica,41711,2012.0,EN
1,Eubalaena japonica,133706,2012.0,CR
1,Galeocerdo cuvier,39378,2012.0,NT
1,Isurus oxyrinchus,39341,2012.0,VU
